soc,industry,sector,segment,category,categoryId,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training,,,,,,,,,,,,,,,,,,,,,,,
25-1011.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Business teachers, postsecondary","Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",104.2,123,18.9,18.1,0.3,10.4,77490,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1011.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Business teachers, postsecondary',","'Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'104.2',","'123',","'18.9',","'18.1',","'0.3',","'10.4',","'77490',","'Doctoral or professional degree',","'None',",'None');
25-1021.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Computer science teachers, postsecondary","Teach courses in computer science. May specialize in a field of computer science, such as the design and function of computers or operations and research analysis. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",39.7,42.8,3.2,8,0.3,3.4,77570,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1021.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Computer science teachers, postsecondary',","'Teach courses in computer science. May specialize in a field of computer science, such as the design and function of computers or operations and research analysis. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'39.7',","'42.8',","'3.2',","'8',","'0.3',","'3.4',","'77570',","'Doctoral or professional degree',","'None',",'None');
25-1022.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Mathematical science teachers, postsecondary","Teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",60.9,66.6,5.6,9.2,0.2,5.3,69520,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1022.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Mathematical science teachers, postsecondary',","'Teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'60.9',","'66.6',","'5.6',","'9.2',","'0.2',","'5.3',","'69520',","'Doctoral or professional degree',","'None',",'None');
25-1031.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Architecture teachers, postsecondary","Teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",9.5,10.5,1,10.6,0,0.8,79250,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1031.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Architecture teachers, postsecondary',","'Teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'9.5',","'10.5',","'1',","'10.6',","'0',","'0.8',","'79250',","'Doctoral or professional degree',","'None',",'None');
25-1032.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Engineering teachers, postsecondary","Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",47.6,54.6,6.9,14.5,0.2,4.5,97530,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1032.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Engineering teachers, postsecondary',","'Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'47.6',","'54.6',","'6.9',","'14.5',","'0.2',","'4.5',","'97530',","'Doctoral or professional degree',","'None',",'None');
25-1041.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Agricultural sciences teachers, postsecondary","Teach courses in the agricultural sciences. Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",12.6,13.6,0.9,7.5,0,1.1,91580,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1041.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Agricultural sciences teachers, postsecondary',","'Teach courses in the agricultural sciences. Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'12.6',","'13.6',","'0.9',","'7.5',","'0',","'1.1',","'91580',","'Doctoral or professional degree',","'None',",'None');
25-1042.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Biological science teachers, postsecondary",Teach courses in biological sciences. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,62.3,71.7,9.4,15.1,0.3,6,76650,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1042.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Biological science teachers, postsecondary',","'Teach courses in biological sciences. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'62.3',","'71.7',","'9.4',","'15.1',","'0.3',","'6',","'76650',","'Doctoral or professional degree',","'None',",'None');
25-1043.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Forestry and conservation science teachers, postsecondary",Teach courses in forestry and conservation science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,2.2,2.3,0.2,7.7,0,0.2,85880,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1043.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Forestry and conservation science teachers, postsecondary',","'Teach courses in forestry and conservation science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'2.2',","'2.3',","'0.2',","'7.7',","'0',","'0.2',","'85880',","'Doctoral or professional degree',","'None',",'None');
25-1051.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Atmospheric, earth, marine, and space sciences teachers, postsecondary","Teach courses in the physical sciences, except chemistry and physics. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.",13.1,14.4,1.3,9.5,0,1.2,85410,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1051.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Atmospheric, earth, marine, and space sciences teachers, postsecondary',","'Teach courses in the physical sciences, except chemistry and physics. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.',","'13.1',","'14.4',","'1.3',","'9.5',","'0',","'1.2',","'85410',","'Doctoral or professional degree',","'None',",'None');
25-1052.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Chemistry teachers, postsecondary","Teach courses pertaining to the chemical and physical properties and compositional changes of substances. Work may include instruction in the methods of qualitative and quantitative chemical analysis. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.",26.3,28.9,2.6,9.9,0.3,2.3,76750,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1052.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Chemistry teachers, postsecondary',","'Teach courses pertaining to the chemical and physical properties and compositional changes of substances. Work may include instruction in the methods of qualitative and quantitative chemical analysis. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.',","'26.3',","'28.9',","'2.6',","'9.9',","'0.3',","'2.3',","'76750',","'Doctoral or professional degree',","'None',",'None');
25-1053.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Environmental science teachers, postsecondary",Teach courses in environmental science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,6.9,7.6,0.7,9.6,0,0.6,78340,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1053.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Environmental science teachers, postsecondary',","'Teach courses in environmental science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'6.9',","'7.6',","'0.7',","'9.6',","'0',","'0.6',","'78340',","'Doctoral or professional degree',","'None',",'None');
25-1054.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Physics teachers, postsecondary",Teach courses pertaining to the laws of matter and energy. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,17.6,19.4,1.8,10,0,1.6,84570,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1054.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Physics teachers, postsecondary',","'Teach courses pertaining to the laws of matter and energy. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'17.6',","'19.4',","'1.8',","'10',","'0',","'1.6',","'84570',","'Doctoral or professional degree',","'None',",'None');
25-1061.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Anthropology and archeology teachers, postsecondary",Teach courses in anthropology or archeology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,7.1,7.8,0.7,10,0,0.6,81350,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1061.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Anthropology and archeology teachers, postsecondary',","'Teach courses in anthropology or archeology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'7.1',","'7.8',","'0.7',","'10',","'0',","'0.6',","'81350',","'Doctoral or professional degree',","'None',",'None');
25-1062.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Area, ethnic, and cultural studies teachers, postsecondary","Teach courses pertaining to the culture and development of an area, an ethnic group, or any other group, such as Latin American studies, women''s studies, or urban affairs. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",11.5,12.7,1.2,10.5,0,1,73020,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1062.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Area, ethnic, and cultural studies teachers, postsecondary',","'Teach courses pertaining to the culture and development of an area, an ethnic group, or any other group, such as Latin American studies, women''s studies, or urban affairs. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'11.5',","'12.7',","'1.2',","'10.5',","'0',","'1',","'73020',","'Doctoral or professional degree',","'None',",'None');
25-1063.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Economics teachers, postsecondary",Teach courses in economics. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,16.5,18.2,1.8,10.6,0.3,1.5,95770,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1063.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Economics teachers, postsecondary',","'Teach courses in economics. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'16.5',","'18.2',","'1.8',","'10.6',","'0.3',","'1.5',","'95770',","'Doctoral or professional degree',","'None',",'None');
25-1064.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Geography teachers, postsecondary",Teach courses in geography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,5,5.4,0.4,8.4,0,0.4,76810,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1064.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Geography teachers, postsecondary',","'Teach courses in geography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'5',","'5.4',","'0.4',","'8.4',","'0',","'0.4',","'76810',","'Doctoral or professional degree',","'None',",'None');
25-1065.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Political science teachers, postsecondary","Teach courses in political science, international affairs, and international relations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",21.2,23.4,2.2,10.5,0.3,1.9,79210,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1065.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Political science teachers, postsecondary',","'Teach courses in political science, international affairs, and international relations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'21.2',","'23.4',","'2.2',","'10.5',","'0.3',","'1.9',","'79210',","'Doctoral or professional degree',","'None',",'None');
25-1066.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Psychology teachers, postsecondary","Teach courses in psychology, such as child, clinical, and developmental psychology, and psychological counseling. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",46.9,54,7.1,15.1,0.3,4.5,73140,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1066.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Psychology teachers, postsecondary',","'Teach courses in psychology, such as child, clinical, and developmental psychology, and psychological counseling. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'46.9',","'54',","'7.1',","'15.1',","'0.3',","'4.5',","'73140',","'Doctoral or professional degree',","'None',",'None');
25-1067.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Sociology teachers, postsecondary",Teach courses in sociology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,17.9,19.6,1.7,9.8,0,1.6,71840,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1067.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Sociology teachers, postsecondary',","'Teach courses in sociology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'17.9',","'19.6',","'1.7',","'9.8',","'0',","'1.6',","'71840',","'Doctoral or professional degree',","'None',",'None');
25-1069.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Social sciences teachers, postsecondary, all other",All postsecondary social sciences teachers not listed separately.,15.3,16.8,1.5,10,0,1.3,70740,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1069.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Social sciences teachers, postsecondary, all other',","'All postsecondary social sciences teachers not listed separately.',","'15.3',","'16.8',","'1.5',","'10',","'0',","'1.3',","'70740',","'Doctoral or professional degree',","'None',",'None');
25-1071.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Health specialties teachers, postsecondary","Teach courses in health specialties, in fields such as dentistry, laboratory technology, medicine, pharmacy, public health, therapy, and veterinary medicine.",233.5,294,60.5,25.9,0.3,25.8,99360,Doctoral or professional degree,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1071.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Health specialties teachers, postsecondary',","'Teach courses in health specialties, in fields such as dentistry, laboratory technology, medicine, pharmacy, public health, therapy, and veterinary medicine.',","'233.5',","'294',","'60.5',","'25.9',","'0.3',","'25.8',","'99360',","'Doctoral or professional degree',","'Less than 5 years',",'None');
25-1072.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Nursing instructors and teachers, postsecondary",Demonstrate and teach patient care in classroom and clinical units to nursing students. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,67.9,84.2,16.3,24,0.3,7.3,69130,Doctoral or professional degree,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1072.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Nursing instructors and teachers, postsecondary',","'Demonstrate and teach patient care in classroom and clinical units to nursing students. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'67.9',","'84.2',","'16.3',","'24',","'0.3',","'7.3',","'69130',","'Doctoral or professional degree',","'Less than 5 years',",'None');
25-1081.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Education teachers, postsecondary","Teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",74.5,82.2,7.7,10.3,0.3,6.6,62520,Doctoral or professional degree,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1081.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Education teachers, postsecondary',","'Teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'74.5',","'82.2',","'7.7',","'10.3',","'0.3',","'6.6',","'62520',","'Doctoral or professional degree',","'Less than 5 years',",'None');
25-1082.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Library science teachers, postsecondary",Teach courses in library science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,6,6.5,0.5,9,0,0.5,68410,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1082.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Library science teachers, postsecondary',","'Teach courses in library science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'6',","'6.5',","'0.5',","'9',","'0',","'0.5',","'68410',","'Doctoral or professional degree',","'None',",'None');
25-1111.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Criminal justice and law enforcement teachers, postsecondary","Teach courses in criminal justice, corrections, and law enforcement administration. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",17.3,19.4,2.2,12.5,0,1.6,59590,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1111.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Criminal justice and law enforcement teachers, postsecondary',","'Teach courses in criminal justice, corrections, and law enforcement administration. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'17.3',","'19.4',","'2.2',","'12.5',","'0',","'1.6',","'59590',","'Doctoral or professional degree',","'None',",'None');
25-1112.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Law teachers, postsecondary",Teach courses in law. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,21.2,23.8,2.6,12.2,0.5,1.9,111210,Doctoral or professional degree,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1112.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Law teachers, postsecondary',","'Teach courses in law. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'21.2',","'23.8',","'2.6',","'12.2',","'0.5',","'1.9',","'111210',","'Doctoral or professional degree',","'Less than 5 years',",'None');
25-1113.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Social work teachers, postsecondary",Teach courses in social work. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,14.9,16.3,1.5,9.9,0,1.3,64030,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1113.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Social work teachers, postsecondary',","'Teach courses in social work. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'14.9',","'16.3',","'1.5',","'9.9',","'0',","'1.3',","'64030',","'Doctoral or professional degree',","'None',",'None');
25-1121.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Art, drama, and music teachers, postsecondary","Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",122.5,137.2,14.7,12,0.4,11.2,68650,Master''s degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1121.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Art, drama, and music teachers, postsecondary',","'Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'122.5',","'137.2',","'14.7',","'12',","'0.4',","'11.2',","'68650',","'Master''s degree',","'None',",'None');
25-1122.00,Education,"Education, training, and library occupations",Postsecondary teachers,Postsecondary teachers,12,"Communications teachers, postsecondary","Teach courses in communications, such as organizational communications, public relations, radio/television broadcasting, and journalism. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",34.1,37.5,3.4,10,0.3,3,65640,Doctoral or professional degree,None,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'25-1122.00',","'Education',","'Education, training, and library occupations',","'Postsecondary teachers',","'Postsecondary teachers',","'12',","'Communications teachers, postsecondary',","'Teach courses in communications, such as organizational communications, public relations, radio/television broadcasting, and journalism. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.',","'34.1',","'37.5',","'3.4',","'10',","'0.3',","'3',","'65640',","'Doctoral or professional degree',","'None',",'None');
